ipv4_address_id,device_id,ipv4_address,ipv4_prefixlen,ipv4_type,ipv4_network_id,vrf_id,port_id,ifIndex,ipv4_network
128192,6062,10.5.51.18,32,private,24887,,192766,13,10.5.51.18/32
128144,2031,10.5.51.20,32,private,24884,,47970,13,10.5.51.20/32
128149,2792,10.5.51.22,32,private,24885,,65687,13,10.5.51.22/32
128210,3998,10.5.51.23,32,private,24894,,346400,16,10.5.51.23/32
123524,4733,10.5.51.24,32,private,24034,,134560,10,10.5.51.24/32
130919,4954,10.5.51.25,32,private,25260,,139621,10,10.5.51.25/32
128172,5337,10.5.51.26,32,private,24886,,164354,8,10.5.51.26/32
123514,2639,10.5.51.29,32,private,24026,,293327,7,10.5.51.29/32
131359,7668,10.5.51.31,32,private,25344,,262601,11,10.5.51.31/32
130882,8359,10.5.51.32,32,private,25254,,282605,11,10.5.51.32/32
89485,4699,10.9.85.25,29,private,18666,,229408,13,10.9.85.24/29
17316,71,10.10.1.1,24,private,5441,,40007,12,10.10.1.0/24
134983,29,10.10.1.1,32,private,24059,,402077,15821370,10.10.1.1/32
21152,2123,10.10.1.30,32,private,6300,,56483,11,10.10.1.30/32
36427,3902,10.10.1.74,32,private,9958,,111093,15,10.10.1.74/32
16463,1476,10.10.2.254,24,private,5736,,34414,4,10.10.2.0/24
130870,500,10.10.5.1,24,private,23428,,8293,4,10.10.5.0/24
131033,9102,10.10.5.1,24,private,23428,,362470,12,10.10.5.0/24
134434,4,10.10.5.1,32,private,25721,,298261,29,10.10.5.1/32
6484,333,10.10.10.1,30,private,3594,,6117,24,10.10.10.0/30
15275,1223,10.10.10.1,30,private,3594,,31100,10,10.10.10.0/30
17554,1699,10.10.10.1,30,private,3594,,41230,14,10.10.10.0/30
18097,1847,10.10.10.1,24,private,3660,,44318,3,10.10.10.0/24
20078,2418,10.10.10.1,30,private,3594,,53456,17,10.10.10.0/30
23231,2470,10.10.10.1,32,private,6203,,57380,15728640,10.10.10.1/32
27438,297,10.10.10.1,30,private,3594,,5427,20,10.10.10.0/30
27442,42,10.10.10.1,30,private,3594,,786,20,10.10.10.0/30
28151,3166,10.10.10.1,24,private,3660,,84247,3,10.10.10.0/24
31564,3422,10.10.10.1,24,private,3660,,92449,7,10.10.10.0/24
36399,3792,10.10.10.1,24,private,3660,,108015,12,10.10.10.0/24
42876,1000,10.10.10.1,24,private,3660,,18423,10,10.10.10.0/24
57761,4016,10.10.10.1,24,private,3660,,114838,7,10.10.10.0/24
60785,2780,10.10.10.1,24,private,3660,,65281,12,10.10.10.0/24
74703,5468,10.10.10.1,24,private,3660,,173933,7,10.10.10.0/24
99848,7756,10.10.10.1,30,private,3594,,263048,8,10.10.10.0/30
100194,206,10.10.10.1,30,private,3594,,265113,27,10.10.10.0/30
115023,8179,10.10.10.1,30,private,3594,,289374,18,10.10.10.0/30
116007,7523,10.10.10.1,24,private,3660,,257355,4,10.10.10.0/24
121377,8775,10.10.10.1,24,private,3660,,298143,8,10.10.10.0/24
127251,7866,10.10.10.1,30,private,3594,,265174,8,10.10.10.0/30
127657,5219,10.10.10.1,32,private,6203,,347422,15728719,10.10.10.1/32
127795,7239,10.10.10.1,30,private,3594,,244264,7,10.10.10.0/30
127887,4895,10.10.10.1,30,private,3594,,138279,7,10.10.10.0/30
128563,5998,10.10.10.1,30,private,3594,,352174,13,10.10.10.0/30
128875,2802,10.10.10.1,30,private,3594,,66128,12,10.10.10.0/30
132787,7819,10.10.10.1,30,private,3594,,385470,8,10.10.10.0/30
135275,6215,10.10.10.1,32,private,6203,,404767,15728912,10.10.10.1/32
15278,1227,10.10.10.2,30,private,3594,,31119,8,10.10.10.0/30
39487,4061,10.10.10.2,30,private,3594,,116287,13,10.10.10.0/30
50623,4694,10.10.10.2,24,private,3660,,137052,9,10.10.10.0/24
76320,1553,10.10.10.2,32,private,5726,,37203,8,10.10.10.2/32
103049,7860,10.10.10.2,30,private,3594,,268688,8,10.10.10.0/30
103132,1452,10.10.10.2,32,private,5726,,34130,8,10.10.10.2/32
115025,8180,10.10.10.2,30,private,3594,,289377,18,10.10.10.0/30
133468,6069,10.10.10.2,30,private,3594,,193000,7,10.10.10.0/30
90905,6173,10.10.10.3,32,private,15296,,195098,17,10.10.10.3/32
118086,5266,10.10.10.3,32,private,15296,,229512,7,10.10.10.3/32
86282,6083,10.10.10.4,32,private,14204,,193182,13,10.10.10.4/32
127796,7239,10.10.10.5,30,private,23719,,244264,7,10.10.10.4/30
129552,2802,10.10.10.5,30,private,23719,,66128,12,10.10.10.4/30
129751,2802,10.10.10.9,30,private,25069,,66128,12,10.10.10.8/30
129930,2802,10.10.10.13,30,private,25090,,66119,3,10.10.10.12/30
6863,409,10.10.10.42,30,private,3661,,6944,6,10.10.10.40/30
79008,2778,10.10.11.1,24,private,7484,,65257,7,10.10.11.0/24
